edu,geo,time,value
ED3-4,BG42,2020,3.3
ED5-8,BG42,2018,3.0
ED5-8,BG42,2020,2.5
TOTAL,BG42,2018,4.2
TOTAL,BG42,2019,3.0
TOTAL,BG42,2020,3.4
ED0-2,CH,2018,8.3
ED0-2,CH,2019,8.1
ED0-2,CH,2020,8.4
ED3-4,CH,2018,4.7
ED3-4,CH,2019,4.4
ED3-4,CH,2020,5.0
ED5-8,CH,2018,3.5
ED5-8,CH,2019,3.3
ED5-8,CH,2020,3.5
TOTAL,CH,2018,4.7
TOTAL,CH,2019,4.4
TOTAL,CH,2020,4.8
ED0-2,CH0,2018,8.3
ED0-2,CH0,2019,8.1
ED0-2,CH0,2020,8.4
ED3-4,CH0,2018,4.7
ED3-4,CH0,2019,4.4
ED3-4,CH0,2020,5.0
ED5-8,CH0,2018,3.5
ED5-8,CH0,2019,3.3
ED5-8,CH0,2020,3.5
TOTAL,CH0,2018,4.7
TOTAL,CH0,2019,4.4
TOTAL,CH0,2020,4.8
ED0-2,CH01,2018,11.7
ED0-2,CH01,2019,10.3
ED0-2,CH01,2020,11.3
ED3-4,CH01,2018,6.9
ED3-4,CH01,2019,7.4
ED3-4,CH01,2020,7.9
ED5-8,CH01,2018,6.2
ED5-8,CH01,2019,6.4
ED5-8,CH01,2020,6.0
TOTAL,CH01,2018,7.5
TOTAL,CH01,2019,7.5
TOTAL,CH01,2020,7.6
ED0-2,CH02,2018,7.6
ED0-2,CH02,2019,6.9
ED0-2,CH02,2020,7.2
ED3-4,CH02,2018,4.5
ED3-4,CH02,2019,3.9
ED3-4,CH02,2020,4.5
ED5-8,CH02,2018,2.7
ED5-8,CH02,2019,2.5
ED5-8,CH02,2020,2.9
TOTAL,CH02,2018,4.3
TOTAL,CH02,2019,3.8
TOTAL,CH02,2020,4.3
ED0-2,CH03,2018,7.6
ED0-2,CH03,2019,6.7
ED0-2,CH03,2020,9.8
ED3-4,CH03,2018,4.5
ED3-4,CH03,2019,4.0
ED3-4,CH03,2020,4.8
ED5-8,CH03,2018,3.1
ED5-8,CH03,2019,2.1
ED5-8,CH03,2020,3.4
TOTAL,CH03,2018,4.2
TOTAL,CH03,2019,3.5
TOTAL,CH03,2020,4.7
ED0-2,CH04,2018,8.0
ED0-2,CH04,2019,7.6
ED0-2,CH04,2020,7.7
ED3-4,CH04,2018,4.8
ED3-4,CH04,2019,4.0
ED3-4,CH04,2020,5.1
ED5-8,CH04,2018,3.0
ED5-8,CH04,2019,3.2
ED5-8,CH04,2020,3.1
TOTAL,CH04,2018,4.3
TOTAL,CH04,2019,4.0
TOTAL,CH04,2020,4.3
ED0-2,CH05,2018,5.6
ED0-2,CH05,2019,9.0
ED0-2,CH05,2020,7.2
ED3-4,CH05,2018,3.8
ED3-4,CH05,2019,3.0
ED3-4,CH05,2020,3.8
ED5-8,CH05,2018,2.4
ED5-8,CH05,2019,2.0
ED5-8,CH05,2020,2.6
TOTAL,CH05,2018,3.6
TOTAL,CH05,2019,3.4
TOTAL,CH05,2020,3.8
ED0-2,CH06,2018,4.5
ED0-2,CH06,2019,4.0
ED0-2,CH06,2020,4.6
ED3-4,CH06,2018,2.6
ED3-4,CH06,2019,2.7
ED3-4,CH06,2020,3.2
ED5-8,CH06,2018,2.6
ED5-8,CH06,2019,2.2
ED5-8,CH06,2020,2.1
TOTAL,CH06,2018,2.9
TOTAL,CH06,2019,2.7
TOTAL,CH06,2020,2.9
ED0-2,CH07,2018,14.0
ED0-2,CH07,2019,15.2
ED0-2,CH07,2020,12.2
ED3-4,CH07,2018,6.3
ED3-4,CH07,2019,7.0
ED3-4,CH07,2020,6.7
ED5-8,CH07,2018,4.3
ED5-8,CH07,2019,3.9
ED5-8,CH07,2020,4.5
TOTAL,CH07,2018,6.6
TOTAL,CH07,2019,6.8
TOTAL,CH07,2020,6.5
ED0-2,CY,2018,9.6
ED0-2,CY,2019,7.5
ED0-2,CY,2020,7.2
ED3-4,CY,2018,8.8
ED3-4,CY,2019,8.0
ED3-4,CY,2020,8.5
ED5-8,CY,2018,7.6
ED5-8,CY,2019,6.1
ED5-8,CY,2020,7.0
TOTAL,CY,2018,8.4
TOTAL,CY,2019,7.1
TOTAL,CY,2020,7.6
ED0-2,CY0,2018,9.6
ED0-2,CY0,2019,7.5
ED0-2,CY0,2020,7.2
ED3-4,CY0,2018,8.8
ED3-4,CY0,2019,8.0
ED3-4,CY0,2020,8.5
ED5-8,CY0,2018,7.6
ED5-8,CY0,2019,6.1
ED5-8,CY0,2020,7.0
TOTAL,CY0,2018,8.4
TOTAL,CY0,2019,7.1
TOTAL,CY0,2020,7.6
ED0-2,CY00,2018,9.6
ED0-2,CY00,2019,7.5
ED0-2,CY00,2020,7.2
ED3-4,CY00,2018,8.8
ED3-4,CY00,2019,8.0
ED3-4,CY00,2020,8.5
ED5-8,CY00,2018,7.6
ED5-8,CY00,2019,6.1
ED5-8,CY00,2020,7.0
TOTAL,CY00,2018,8.4
TOTAL,CY00,2019,7.1
TOTAL,CY00,2020,7.6
ED0-2,CZ,2018,10.7
ED0-2,CZ,2019,10.7
ED0-2,CZ,2020,10.4
ED3-4,CZ,2018,2.1
ED3-4,CZ,2019,1.7
ED3-4,CZ,2020,2.4
ED5-8,CZ,2018,1.2
ED5-8,CZ,2019,1.0
ED5-8,CZ,2020,1.4
TOTAL,CZ,2018,2.2
TOTAL,CZ,2019,2.0
TOTAL,CZ,2020,2.5
ED0-2,CZ0,2018,10.7
ED0-2,CZ0,2019,10.7
ED0-2,CZ0,2020,10.4
ED3-4,CZ0,2018,2.1
ED3-4,CZ0,2019,1.7
ED3-4,CZ0,2020,2.4
ED5-8,CZ0,2018,1.2
ED5-8,CZ0,2019,1.0
ED5-8,CZ0,2020,1.4
TOTAL,CZ0,2018,2.2
TOTAL,CZ0,2019,2.0
TOTAL,CZ0,2020,2.5
ED0-2,CZ01,2018,5.0
ED0-2,CZ01,2019,5.7
ED0-2,CZ01,2020,3.3
ED3-4,CZ01,2018,1.4
ED3-4,CZ01,2019,1.4
ED3-4,CZ01,2020,2.8
ED5-8,CZ01,2018,0.9
ED5-8,CZ01,2019,1.0
ED5-8,CZ01,2020,1.6
TOTAL,CZ01,2018,1.3
TOTAL,CZ01,2019,1.3
TOTAL,CZ01,2020,2.3
ED0-2,CZ02,2018,8.9
ED0-2,CZ02,2019,6.7
ED0-2,CZ02,2020,4.8
ED3-4,CZ02,2018,1.9
ED3-4,CZ02,2019,1.2
ED3-4,CZ02,2020,2.1
ED5-8,CZ02,2018,1.0
ED5-8,CZ02,2019,0.7
ED5-8,CZ02,2020,1.1
TOTAL,CZ02,2018,2.0
TOTAL,CZ02,2019,1.3
TOTAL,CZ02,2020,1.9
ED0-2,CZ03,2018,7.1
ED0-2,CZ03,2019,10.2
ED0-2,CZ03,2020,7.3
ED3-4,CZ03,2018,1.4
ED3-4,CZ03,2019,1.2
ED3-4,CZ03,2020,1.6
ED5-8,CZ03,2018,0.5
ED5-8,CZ03,2019,0.7
ED5-8,CZ03,2020,1.8
TOTAL,CZ03,2018,1.5
TOTAL,CZ03,2019,1.5
TOTAL,CZ03,2020,2.0
ED0-2,CZ04,2018,12.7
ED0-2,CZ04,2019,10.1
ED0-2,CZ04,2020,11.5
ED3-4,CZ04,2018,2.4
ED3-4,CZ04,2019,2.3
ED3-4,CZ04,2020,3.4
ED5-8,CZ04,2018,2.1
ED5-8,CZ04,2019,1.5
ED5-8,CZ04,2020,1.4
TOTAL,CZ04,2018,3.4
TOTAL,CZ04,2019,3.0
TOTAL,CZ04,2020,4.0
ED0-2,CZ05,2018,9.3
ED0-2,CZ05,2019,9.1
ED0-2,CZ05,2020,12.5
ED3-4,CZ05,2018,1.7
ED3-4,CZ05,2019,1.3
ED3-4,CZ05,2020,2.0
ED5-8,CZ05,2018,1.1
ED5-8,CZ05,2019,1.1
ED5-8,CZ05,2020,1.3
TOTAL,CZ05,2018,2.0
TOTAL,CZ05,2019,1.7
TOTAL,CZ05,2020,2.3
ED0-2,CZ06,2018,11.8
ED0-2,CZ06,2019,10.5
ED0-2,CZ06,2020,9.4
ED3-4,CZ06,2018,2.1
ED3-4,CZ06,2019,1.7
ED3-4,CZ06,2020,2.3
ED5-8,CZ06,2018,1.5
ED5-8,CZ06,2019,1.1
ED5-8,CZ06,2020,1.1
TOTAL,CZ06,2018,2.3
TOTAL,CZ06,2019,1.9
TOTAL,CZ06,2020,2.3
ED0-2,CZ07,2018,9.5
ED0-2,CZ07,2019,13.6
ED0-2,CZ07,2020,10.7
ED3-4,CZ07,2018,2.2
ED3-4,CZ07,2019,2.0
ED3-4,CZ07,2020,2.2
ED5-8,CZ07,2018,0.9
ED5-8,CZ07,2019,0.7
ED5-8,CZ07,2020,1.6
TOTAL,CZ07,2018,2.2
TOTAL,CZ07,2019,2.2
TOTAL,CZ07,2020,2.5
ED0-2,CZ08,2018,16.3
ED0-2,CZ08,2019,17.7
ED0-2,CZ08,2020,19.9
ED3-4,CZ08,2018,3.3
ED3-4,CZ08,2019,3.2
ED3-4,CZ08,2020,3.1
ED5-8,CZ08,2018,2.0
ED5-8,CZ08,2019,1.3
ED5-8,CZ08,2020,1.5
TOTAL,CZ08,2018,3.7
TOTAL,CZ08,2019,3.7
TOTAL,CZ08,2020,3.6
ED0-2,DE,2018,8.8
ED0-2,DE,2019,7.9
ED0-2,DE,2020,9.1
ED3-4,DE,2018,2.9
ED3-4,DE,2019,2.7
ED3-4,DE,2020,3.2
ED5-8,DE,2018,1.9
ED5-8,DE,2019,1.8
ED5-8,DE,2020,2.5
TOTAL,DE,2018,3.4
TOTAL,DE,2019,3.1
TOTAL,DE,2020,3.8
ED0-2,DE1,2018,5.9
ED0-2,DE1,2019,4.8
ED0-2,DE1,2020,6.2
ED3-4,DE1,2018,2.0
ED3-4,DE1,2019,2.1
ED3-4,DE1,2020,2.8
ED5-8,DE1,2018,1.4
ED5-8,DE1,2019,1.6
ED5-8,DE1,2020,2.4
TOTAL,DE1,2018,2.5
TOTAL,DE1,2019,2.4
TOTAL,DE1,2020,3.2
ED0-2,DE11,2018,5.9
ED0-2,DE11,2019,5.1
ED0-2,DE11,2020,7.2
ED3-4,DE11,2018,2.0
ED3-4,DE11,2019,2.1
ED3-4,DE11,2020,3.0
ED5-8,DE11,2018,1.1
ED5-8,DE11,2019,1.6
TOTAL,DE11,2018,2.3
TOTAL,DE11,2019,2.4
TOTAL,DE11,2020,3.4
ED0-2,DE12,2018,6.7
ED0-2,DE12,2019,5.5
ED3-4,DE12,2018,2.5
ED3-4,DE12,2019,2.7
ED5-8,DE12,2018,1.9
ED5-8,DE12,2019,1.8
TOTAL,DE12,2018,2.9
TOTAL,DE12,2019,2.8
TOTAL,DE12,2020,3.4
ED0-2,DE13,2018,6.5
ED0-2,DE13,2019,3.9
ED3-4,DE13,2018,1.9
ED3-4,DE13,2019,1.7
ED5-8,DE13,2018,1.7
ED5-8,DE13,2019,2.0
TOTAL,DE13,2018,2.6
TOTAL,DE13,2019,2.1
TOTAL,DE13,2020,2.6
ED0-2,DE14,2018,4.2
ED0-2,DE14,2019,4.5
ED3-4,DE14,2018,1.7
ED3-4,DE14,2019,1.6
TOTAL,DE14,2018,1.9
TOTAL,DE14,2019,1.9
